User ID,Vehicle Model,Battery Capacity (kWh),Charging Station ID,Charging Station Location,Charging Start Time,Charging End Time,Charging Duration (hours),Charging Rate(Kw),Charging Cost (USD),Time of Day,Energy Consumed (kwh),Day of Week,State of Charge (Start %),Distance Driven (since last charge) (km),State of Charge (End %),Temperature (°C),Vehicle Age (years),Charger Type,User Type,Latitude,Longitude,Calculation1,Calculation2,Calculation3
User_1,BMW i3,108.463007413,Station_391,Houston,01-01-2024 00:00:00,01-01-2024 00:39:00,0.591363425,36.389180567,13.087716792,Evening,60.712345735,Tuesday,29.371575979,293.602110638,86.119962445,27.947953056,2,DC Fast Charger,Commuter,29.7604,-95.3698,40.480082812,24.646181905,153.596787736
User_2,Hyundai Kona,100,Station_428,San Francisco,01-01-2024 01:00:00,01-01-2024 03:01:00,3.133652053,30.677734940,21.128447929,Morning,12.339275204,Monday,10.115777642,112.112803682,84.664343628,14.311025660,3,Level 1,Casual Driver,37.7749,-122.4194,40.480082812,24.646181905,153.596787736
User_3,Chevy Bolt,75,Station_181,San Francisco,01-01-2024 02:00:00,01-01-2024 04:48:00,2.452652726,27.513592559,35.667270424,Morning,19.128875700,Thursday,6.854604444,71.799252926,69.917615240,21.002001836,2,Level 2,Commuter,37.7749,-122.4194,40.480082812,24.646181905,153.596787736
User_4,Hyundai Kona,50,Station_327,Houston,01-01-2024 03:00:00,01-01-2024 06:42:00,1.266430805,32.882869757,13.036238834,Evening,79.457823988,Saturday,83.120002961,199.577784516,99.624327631,38.316313160,1,Level 1,Long-Distance Traveler,29.7604,-95.3698,40.480082812,24.646181905,153.596787736
User_5,Hyundai Kona,50,Station_108,Los Angeles,01-01-2024 04:00:00,01-01-2024 05:46:00,2.019765087,10.215712071,10.161471171,Morning,19.629104168,Saturday,54.258949691,203.661846558,63.743786036,-7.834199027,1,Level 1,Long-Distance Traveler,34.0522,-118.2437,40.480082812,24.646181905,153.596787736
User_6,Nissan Leaf,50,Station_335,San Francisco,01-01-2024 05:00:00,01-01-2024 07:10:00,1.167640154,14.334522776,36.900340778,Evening,43.181137142,Saturday,75.217748337,143.680046107,71.982287571,-5.274217797,0,DC Fast Charger,Long-Distance Traveler,37.7749,-122.4194,40.480082812,24.646181905,153.596787736
User_7,Chevy Bolt,85,Station_162,Houston,01-01-2024 06:00:00,01-01-2024 07:53:00,3.539619026,26.185187860,22.214225176,Evening,36.862139988,Friday,60.751780760,81.338008908,70.796096901,27.551334681,4,Level 2,Commuter,29.7604,-95.3698,40.480082812,24.646181905,153.596787736
User_8,Chevy Bolt,75,Station_302,Los Angeles,01-01-2024 07:00:00,01-01-2024 10:42:00,2.655396446,26.702907766,9.796821321,Afternoon,51.467616858,Monday,56.201703033,116.543165781,63.786815332,-4.417459666,0,Level 2,Long-Distance Traveler,34.0522,-118.2437,40.480082812,24.646181905,153.596787736
User_9,Chevy Bolt,62,Station_493,Los Angeles,01-01-2024 08:00:00,01-01-2024 09:21:00,1.724203599,14.294922927,32.465005072,Evening,43.592372282,Wednesday,33.466200263,208.259742494,92.961420904,22.516706427,4,Level 1,Commuter,34.0522,-118.2437,40.480082812,24.646181905,153.596787736
User_10,Hyundai Kona,50,Station_452,Chicago,01-01-2024 09:00:00,01-01-2024 12:44:00,2.026874691,11.760999715,21.312302451,Morning,78.868607451,Wednesday,27.399454626,54.006309200,70.053381378,27.512019365,2.830381307,DC Fast Charger,Commuter,41.8781,-87.6298,40.480082812,24.646181905,153.596787736
User_11,BMW i3,50,Station_206,Los Angeles,01-01-2024 10:00:00,01-01-2024 13:59:00,2.648635448,10.310701113,38.221230704,Night,18.206197477,Thursday,76.086565570,64.634643749,82.265581627,0.500433564,3,DC Fast Charger,Casual Driver,34.0522,-118.2437,40.480082812,24.646181905,153.596787736
User_12,Chevy Bolt,85,Station_78,San Francisco,01-01-2024 11:00:00,01-01-2024 14:55:00,2.057888622,4.464822629,14.050861352,Evening,22.564929484,Sunday,14.618902372,194.763806682,85.857494154,34.262611273,0,DC Fast Charger,Long-Distance Traveler,37.7749,-122.4194,40.480082812,24.646181905,153.596787736
User_13,Hyundai Kona,100,Station_16,San Francisco,01-01-2024 12:00:00,01-01-2024 13:00:00,3.065584752,5.523688619,10.972135997,Afternoon,34.256452909,Monday,19.205446950,249.127596515,51.626482729,23.662965362,0,Level 2,Casual Driver,37.7749,-122.4194,40.480082812,24.646181905,153.596787736
User_14,Nissan Leaf,75,Station_327,Houston,01-01-2024 13:00:00,01-01-2024 15:54:00,3.590965718,19.769098718,37.441856603,Morning,16.561064325,Friday,25.775415390,159.231610219,69.201229099,34.110348639,7,Level 2,Commuter,29.7604,-95.3698,40.480082812,24.646181905,153.596787736
User_15,BMW i3,85,Station_96,Houston,01-01-2024 14:00:00,01-01-2024 17:32:00,3.421809338,24.211150117,18.552815677,Afternoon,12.927545291,Monday,71.683543835,155.360605437,63.706637941,39.505445688,4,Level 1,Casual Driver,29.7604,-95.3698,40.480082812,24.646181905,153.596787736
User_16,Nissan Leaf,100,Station_147,Los Angeles,01-01-2024 15:00:00,01-01-2024 17:19:00,2.703286128,11.112498842,33.093492711,Evening,27.354317885,Monday,10.677153729,247.659436921,72.403470152,-8.302136899,1.535234088,DC Fast Charger,Long-Distance Traveler,34.0522,-118.2437,40.480082812,24.646181905,153.596787736
User_17,BMW i3,97.681812230,Station_2,New York,01-01-2024 16:00:00,01-01-2024 18:02:00,3.458680279,49.402738616,17.494808461,Evening,24.726937681,Thursday,67.591970911,237.306420943,89.942229365,4.415329619,7,DC Fast Charger,Commuter,40.7128,-74.006,40.480082812,24.646181905,153.596787736
User_18,Hyundai Kona,50,Station_10,Chicago,01-01-2024 17:00:00,01-01-2024 20:13:00,0.848218268,6.614280125,6.430589212,Evening,23.824040474,Friday,57.595195120,22.006829163,74.961950347,18.405709050,6,Level 2,Casual Driver,41.8781,-87.6298,40.480082812,24.646181905,153.596787736
User_19,Tesla Model 3,100,Station_434,New York,01-01-2024 18:00:00,01-01-2024 21:03:00,0.807532158,20.490846046,25.078793710,Evening,42.638018192,Saturday,55.517050874,280.862070976,52.713488686,37.430356532,0,Level 1,Long-Distance Traveler,40.7128,-74.006,40.480082812,24.646181905,153.596787736
User_20,BMW i3,50,Station_125,Los Angeles,01-01-2024 19:00:00,01-01-2024 20:22:00,2.580925354,45.291435346,7.090844201,Morning,48.482484308,Wednesday,12.754877572,243.255769470,116.095656889,9.202409892,3,Level 2,Long-Distance Traveler,34.0522,-118.2437,40.480082812,24.646181905,153.596787736
User_21,Nissan Leaf,50,Station_81,Los Angeles,01-01-2024 20:00:00,01-01-2024 22:54:00,3.168872892,30.489960234,28.872894608,Night,50.279066674,Tuesday,16.545512365,15.420444596,77.936327139,33.980310103,3,Level 2,Casual Driver,34.0522,-118.2437,40.480082812,24.646181905,153.596787736
User_22,Hyundai Kona,62,Station_485,New York,01-01-2024 21:00:00,01-01-2024 22:55:00,2.931761495,24.646181905,34.853234402,Evening,59.135031616,Sunday,71.530312130,219.626356921,75.974351587,-2.755069332,5,Level 1,Commuter,40.7128,-74.006,40.480082812,24.646181905,153.596787736
User_23,BMW i3,75,Station_140,Chicago,01-01-2024 22:00:00,02-01-2024 01:02:00,2.562817304,19.194882837,14.856131219,Afternoon,49.196429590,Saturday,49.024239110,298.188122318,64.481873938,39.958937317,4.257936703,DC Fast Charger,Long-Distance Traveler,41.8781,-87.6298,40.480082812,24.646181905,153.596787736
User_24,Tesla Model 3,100,Station_326,New York,01-01-2024 23:00:00,01-01-2024 23:31:00,2.071429209,49.710306969,38.406061696,Morning,68.447126320,Friday,19.233139127,280.915468227,74.006150881,3.580839954,5,DC Fast Charger,Commuter,40.7128,-74.006,40.480082812,24.646181905,153.596787736
User_25,Tesla Model 3,100,Station_150,Houston,02-01-2024 00:00:00,02-01-2024 01:55:00,0.957137660,11.238538627,24.037534689,Morning,27.604384682,Wednesday,65.486886581,173.471526505,65.352096274,35.977821918,4,Level 1,Long-Distance Traveler,29.7604,-95.3698,40.480082812,24.646181905,153.596787736
User_26,Chevy Bolt,75,Station_288,San Francisco,02-01-2024 01:00:00,02-01-2024 03:42:00,3.604173535,12.318614796,38.763193825,Morning,40.178003500,Saturday,80.344083727,82.754613940,79.995563131,21.536843968,1,DC Fast Charger,Commuter,37.7749,-122.4194,40.480082812,24.646181905,153.596787736
User_27,Chevy Bolt,75,Station_361,Houston,02-01-2024 02:00:00,02-01-2024 02:33:00,3.652540335,36.182371884,27.448310884,Afternoon,43.487751225,Thursday,88.748479072,80.912665123,87.824028999,29.872209873,0.361215166,Level 1,Commuter,29.7604,-95.3698,40.480082812,24.646181905,153.596787736
User_28,Nissan Leaf,50,Station_340,San Francisco,02-01-2024 03:00:00,02-01-2024 06:13:00,1.547713718,45.776731194,9.855826893,Night,10.338517724,Sunday,98.332795312,162.686544361,94.504851770,5.504758728,0,Level 1,Long-Distance Traveler,37.7749,-122.4194,40.480082812,24.646181905,153.596787736
